Results for prediction length: 25
Results for prediction length: 50
Experiment 01: ADE_a: 0.2976±0.0470, ADE_b: 0.5623±0.2889, ADE_c: 1.2481±0.4371, ADE_c: 0.2177±0.0098, FDE_a: 0.7618±0.2562, FDE_b: 0.5036±0.0299, FDE_c: 3.9358±1.0759, FDE_d: 0.5063±0.0354
Experiment 02: ADE_a: 0.2657±0.0413, ADE_b: 0.5346±0.2859, ADE_c: 1.2721±0.4753, ADE_c: 0.2110±0.0144, FDE_a: 0.6608±0.1849, FDE_b: 0.5022±0.0356, FDE_c: 4.0299±1.1715, FDE_d: 0.5023±0.0319
Experiment 03: ADE_a: 0.2636±0.0386, ADE_b: 0.5244±0.2881, ADE_c: 1.2692±0.5082, ADE_c: 0.2151±0.0168, FDE_a: 0.6579±0.1700, FDE_b: 0.5025±0.0346, FDE_c: 4.0331±1.2402, FDE_d: 0.5073±0.0376
Experiment 04: ADE_a: 0.2477±0.0285, ADE_b: 0.4898±0.2655, ADE_c: 1.2705±0.5318, ADE_c: 0.2099±0.0081, FDE_a: 0.6009±0.1203, FDE_b: 0.4928±0.0161, FDE_c: 4.0576±1.3010, FDE_d: 0.4957±0.0083
Experiment 05: ADE_a: 0.2408±0.0244, ADE_b: 0.4751±0.2506, ADE_c: 1.2759±0.5592, ADE_c: 0.2102±0.0124, FDE_a: 0.5721±0.1169, FDE_b: 0.4936±0.0273, FDE_c: 4.0812±1.3683, FDE_d: 0.4935±0.0297
Experiment 06: ADE_a: 0.2379±0.0223, ADE_b: 0.4500±0.2385, ADE_c: 1.2753±0.5809, ADE_c: 0.2107±0.0152, FDE_a: 0.5697±0.1273, FDE_b: 0.4917±0.0332, FDE_c: 4.0864±1.4333, FDE_d: 0.4944±0.0371
Experiment 07: ADE_a: 0.2288±0.0153, ADE_b: 0.4338±0.2297, ADE_c: 1.2788±0.6094, ADE_c: 0.2086±0.0136, FDE_a: 0.5501±0.1166, FDE_b: 0.4912±0.0339, FDE_c: 4.0909±1.5027, FDE_d: 0.4936±0.0335
Experiment 08: ADE_a: 0.2261±0.0168, ADE_b: 0.4200±0.2215, ADE_c: 1.2781±0.6205, ADE_c: 0.2090±0.0124, FDE_a: 0.5355±0.1069, FDE_b: 0.4923±0.0252, FDE_c: 4.0991±1.5383, FDE_d: 0.4937±0.0222
Experiment 09: ADE_a: 0.2214±0.0136, ADE_b: 0.4010±0.2143, ADE_c: 1.2821±0.6551, ADE_c: 0.2078±0.0130, FDE_a: 0.5181±0.1028, FDE_b: 0.4892±0.0282, FDE_c: 4.1360±1.6484, FDE_d: 0.4891±0.0258
Experiment 10: ADE_a: 0.2239±0.0101, ADE_b: 0.3969±0.2018, ADE_c: 1.3002±0.6947, ADE_c: 0.2127±0.0145, FDE_a: 0.5191±0.0902, FDE_b: 0.5002±0.0318, FDE_c: 4.2403±1.8331, FDE_d: 0.4998±0.0267
Experiment 11: ADE_a: 0.2235±0.0104, ADE_b: 0.3877±0.1906, ADE_c: 1.2857±0.6848, ADE_c: 0.2145±0.0133, FDE_a: 0.5218±0.0756, FDE_b: 0.5054±0.0278, FDE_c: 4.1400±1.7334, FDE_d: 0.5060±0.0288
Experiment 12: ADE_a: 0.2275±0.0140, ADE_b: 0.3853±0.1795, ADE_c: 1.2989±0.7159, ADE_c: 0.2176±0.0087, FDE_a: 0.5245±0.0747, FDE_b: 0.5082±0.0195, FDE_c: 4.2398±1.9314, FDE_d: 0.5078±0.0209
Experiment 13: ADE_a: 0.2229±0.0125, ADE_b: 0.3694±0.1811, ADE_c: 1.2825±0.7141, ADE_c: 0.2175±0.0129, FDE_a: 0.5176±0.0680, FDE_b: 0.5101±0.0279, FDE_c: 4.1162±1.8182, FDE_d: 0.5122±0.0258
Experiment 14: ADE_a: 0.2194±0.0123, ADE_b: 0.3677±0.1671, ADE_c: 1.2701±0.7109, ADE_c: 0.2179±0.0126, FDE_a: 0.4997±0.0510, FDE_b: 0.5126±0.0266, FDE_c: 4.0917±1.8223, FDE_d: 0.5120±0.0235
Experiment 15: ADE_a: 0.2219±0.0127, ADE_b: 0.3545±0.1575, ADE_c: 1.2644±0.7192, ADE_c: 0.2185±0.0129, FDE_a: 0.5088±0.0456, FDE_b: 0.5149±0.0282, FDE_c: 4.0528±1.8161, FDE_d: 0.5157±0.0285
Experiment 16: ADE_a: 0.2286±0.0141, ADE_b: 0.3552±0.1466, ADE_c: 1.2639±0.7312, ADE_c: 0.2253±0.0131, FDE_a: 0.5159±0.0397, FDE_b: 0.5247±0.0222, FDE_c: 4.0794±1.9170, FDE_d: 0.5268±0.0190
Experiment 17: ADE_a: 0.2248±0.0159, ADE_b: 0.3509±0.1484, ADE_c: 1.2670±0.7430, ADE_c: 0.2226±0.0120, FDE_a: 0.5121±0.0391, FDE_b: 0.5240±0.0270, FDE_c: 4.0975±1.9617, FDE_d: 0.5235±0.0223
Experiment 18: ADE_a: 0.2240±0.0156, ADE_b: 0.3442±0.1332, ADE_c: 1.2500±0.7294, ADE_c: 0.2233±0.0095, FDE_a: 0.5086±0.0349, FDE_b: 0.5249±0.0213, FDE_c: 3.9803±1.8428, FDE_d: 0.5243±0.0209
Experiment 19: ADE_a: 0.2258±0.0165, ADE_b: 0.3446±0.1318, ADE_c: 1.2639±0.7575, ADE_c: 0.2264±0.0097, FDE_a: 0.5174±0.0438, FDE_b: 0.5301±0.0190, FDE_c: 4.0895±2.0189, FDE_d: 0.5294±0.0186
Experiment 20: ADE_a: 0.2264±0.0114, ADE_b: 0.3404±0.1257, ADE_c: 1.2341±0.7324, ADE_c: 0.2267±0.0134, FDE_a: 0.5203±0.0425, FDE_b: 0.5330±0.0263, FDE_c: 3.9023±1.8359, FDE_d: 0.5347±0.0266
Experiment 21: ADE_a: 0.2277±0.0132, ADE_b: 0.3429±0.1233, ADE_c: 1.2352±0.7454, ADE_c: 0.2297±0.0123, FDE_a: 0.5139±0.0257, FDE_b: 0.5412±0.0241, FDE_c: 3.9533±1.9358, FDE_d: 0.5407±0.0235
Experiment 22: ADE_a: 0.2282±0.0153, ADE_b: 0.3410±0.1147, ADE_c: 1.2329±0.7562, ADE_c: 0.2305±0.0122, FDE_a: 0.5194±0.0320, FDE_b: 0.5458±0.0237, FDE_c: 3.9652±1.9934, FDE_d: 0.5461±0.0246
Experiment 23: ADE_a: 0.2279±0.0135, ADE_b: 0.3408±0.1126, ADE_c: 1.2190±0.7359, ADE_c: 0.2328±0.0105, FDE_a: 0.5165±0.0206, FDE_b: 0.5475±0.0189, FDE_c: 3.8776±1.8798, FDE_d: 0.5461±0.0199
Experiment 24: ADE_a: 0.2268±0.0139, ADE_b: 0.3413±0.1095, ADE_c: 1.2161±0.7470, ADE_c: 0.2324±0.0109, FDE_a: 0.5210±0.0199, FDE_b: 0.5480±0.0190, FDE_c: 3.8706±1.9096, FDE_d: 0.5478±0.0210
Experiment 25: ADE_a: 0.2281±0.0136, ADE_b: 0.3385±0.1009, ADE_c: 1.2047±0.7410, ADE_c: 0.2340±0.0101, FDE_a: 0.5208±0.0254, FDE_b: 0.5500±0.0186, FDE_c: 3.8220±1.8748, FDE_d: 0.5487±0.0211
Experiment 26: ADE_a: 0.2299±0.0103, ADE_b: 0.3385±0.1016, ADE_c: 1.2047±0.7417, ADE_c: 0.2345±0.0119, FDE_a: 0.5263±0.0258, FDE_b: 0.5536±0.0207, FDE_c: 3.7947±1.8737, FDE_d: 0.5536±0.0231
Experiment 27: ADE_a: 0.2289±0.0127, ADE_b: 0.3374±0.0981, ADE_c: 1.1938±0.7388, ADE_c: 0.2357±0.0114, FDE_a: 0.5256±0.0272, FDE_b: 0.5540±0.0202, FDE_c: 3.7713±1.8646, FDE_d: 0.5535±0.0218
Experiment 28: ADE_a: 0.2307±0.0118, ADE_b: 0.3365±0.0941, ADE_c: 1.1952±0.7447, ADE_c: 0.2367±0.0132, FDE_a: 0.5260±0.0148, FDE_b: 0.5571±0.0249, FDE_c: 3.7752±1.8917, FDE_d: 0.5570±0.0276
Experiment 29: ADE_a: 0.2341±0.0116, ADE_b: 0.3373±0.0913, ADE_c: 1.1980±0.7567, ADE_c: 0.2399±0.0114, FDE_a: 0.5362±0.0199, FDE_b: 0.5623±0.0199, FDE_c: 3.8038±1.9404, FDE_d: 0.5625±0.0226
Experiment 30: ADE_a: 0.2308±0.0131, ADE_b: 0.3363±0.0921, ADE_c: 1.1860±0.7540, ADE_c: 0.2382±0.0101, FDE_a: 0.5274±0.0192, FDE_b: 0.5588±0.0162, FDE_c: 3.7610±1.9321, FDE_d: 0.5593±0.0166
Experiment 31: ADE_a: 0.2317±0.0147, ADE_b: 0.3378±0.0893, ADE_c: 1.1784±0.7484, ADE_c: 0.2418±0.0105, FDE_a: 0.5282±0.0246, FDE_b: 0.5683±0.0191, FDE_c: 3.7252±1.9098, FDE_d: 0.5678±0.0200
Experiment 32: ADE_a: 0.2347±0.0094, ADE_b: 0.3333±0.0853, ADE_c: 1.1894±0.7616, ADE_c: 0.2412±0.0139, FDE_a: 0.5414±0.0249, FDE_b: 0.5657±0.0295, FDE_c: 3.7740±1.9878, FDE_d: 0.5675±0.0312
Experiment 33: ADE_a: 0.2339±0.0092, ADE_b: 0.3382±0.0853, ADE_c: 1.1675±0.7476, ADE_c: 0.2438±0.0117, FDE_a: 0.5345±0.0239, FDE_b: 0.5712±0.0227, FDE_c: 3.6831±1.9191, FDE_d: 0.5719±0.0264
Experiment 34: ADE_a: 0.2312±0.0101, ADE_b: 0.3351±0.0828, ADE_c: 1.1700±0.7593, ADE_c: 0.2422±0.0127, FDE_a: 0.5302±0.0218, FDE_b: 0.5696±0.0239, FDE_c: 3.6896±1.9559, FDE_d: 0.5681±0.0250
Experiment 35: ADE_a: 0.2349±0.0083, ADE_b: 0.3350±0.0787, ADE_c: 1.1672±0.7489, ADE_c: 0.2435±0.0134, FDE_a: 0.5384±0.0225, FDE_b: 0.5721±0.0261, FDE_c: 3.6841±1.9364, FDE_d: 0.5715±0.0288
Experiment 36: ADE_a: 0.2349±0.0106, ADE_b: 0.3327±0.0781, ADE_c: 1.1685±0.7565, ADE_c: 0.2427±0.0127, FDE_a: 0.5333±0.0198, FDE_b: 0.5686±0.0256, FDE_c: 3.6734±1.9545, FDE_d: 0.5685±0.0260
Experiment 37: ADE_a: 0.2347±0.0119, ADE_b: 0.3330±0.0742, ADE_c: 1.1630±0.7570, ADE_c: 0.2439±0.0095, FDE_a: 0.5394±0.0217, FDE_b: 0.5719±0.0186, FDE_c: 3.6618±1.9507, FDE_d: 0.5720±0.0206
Experiment 38: ADE_a: 0.2338±0.0093, ADE_b: 0.3324±0.0768, ADE_c: 1.1616±0.7598, ADE_c: 0.2433±0.0114, FDE_a: 0.5361±0.0197, FDE_b: 0.5687±0.0218, FDE_c: 3.6728±2.0006, FDE_d: 0.5690±0.0228
Experiment 39: ADE_a: 0.2354±0.0093, ADE_b: 0.3377±0.0728, ADE_c: 1.1594±0.7641, ADE_c: 0.2479±0.0119, FDE_a: 0.5426±0.0181, FDE_b: 0.5801±0.0236, FDE_c: 3.6384±1.9709, FDE_d: 0.5791±0.0250
Experiment 40: ADE_a: 0.2370±0.0088, ADE_b: 0.3309±0.0702, ADE_c: 1.1516±0.7561, ADE_c: 0.2449±0.0113, FDE_a: 0.5437±0.0217, FDE_b: 0.5719±0.0220, FDE_c: 3.6310±1.9781, FDE_d: 0.5732±0.0230
Experiment 41: ADE_a: 0.2386±0.0100, ADE_b: 0.3352±0.0673, ADE_c: 1.1483±0.7603, ADE_c: 0.2480±0.0110, FDE_a: 0.5479±0.0186, FDE_b: 0.5796±0.0201, FDE_c: 3.7025±2.0943, FDE_d: 0.5805±0.0214
Experiment 42: ADE_a: 0.2393±0.0087, ADE_b: 0.3310±0.0662, ADE_c: 1.1645±0.7773, ADE_c: 0.2472±0.0122, FDE_a: 0.5487±0.0240, FDE_b: 0.5783±0.0246, FDE_c: 3.6739±2.0596, FDE_d: 0.5788±0.0248
Experiment 43: ADE_a: 0.2371±0.0091, ADE_b: 0.3316±0.0680, ADE_c: 1.1511±0.7693, ADE_c: 0.2473±0.0106, FDE_a: 0.5456±0.0151, FDE_b: 0.5778±0.0210, FDE_c: 3.6785±2.0893, FDE_d: 0.5784±0.0208
Experiment 44: ADE_a: 0.2357±0.0098, ADE_b: 0.3336±0.0655, ADE_c: 1.1420±0.7636, ADE_c: 0.2487±0.0109, FDE_a: 0.5440±0.0245, FDE_b: 0.5818±0.0204, FDE_c: 3.6697±2.0990, FDE_d: 0.5814±0.0235
Experiment 45: ADE_a: 0.2382±0.0099, ADE_b: 0.3305±0.0642, ADE_c: 1.1411±0.7657, ADE_c: 0.2490±0.0118, FDE_a: 0.5492±0.0317, FDE_b: 0.5815±0.0245, FDE_c: 3.6293±2.0836, FDE_d: 0.5828±0.0253
Experiment 46: ADE_a: 0.2370±0.0094, ADE_b: 0.3309±0.0606, ADE_c: 1.1427±0.7744, ADE_c: 0.2491±0.0129, FDE_a: 0.5441±0.0207, FDE_b: 0.5811±0.0256, FDE_c: 3.6531±2.1211, FDE_d: 0.5810±0.0245
Experiment 47: ADE_a: 0.2429±0.0136, ADE_b: 0.3320±0.0619, ADE_c: 1.1641±0.7945, ADE_c: 0.2513±0.0094, FDE_a: 0.5578±0.0220, FDE_b: 0.5850±0.0201, FDE_c: 3.7273±2.2168, FDE_d: 0.5877±0.0197
Experiment 48: ADE_a: 0.2374±0.0106, ADE_b: 0.3288±0.0626, ADE_c: 1.1594±0.8030, ADE_c: 0.2479±0.0118, FDE_a: 0.5472±0.0293, FDE_b: 0.5787±0.0251, FDE_c: 3.8911±2.5032, FDE_d: 0.5797±0.0237
