
Results for prediction length: 25
Experiment 08: ADE_a: 0.2316±0.0339, ADE_b: 0.5175±0.3893, ADE_c: 1.2213±0.2602, ADE_c: 0.2281±0.0151, FDE_a: 0.6062±0.1571, FDE_b: 0.5372±0.0319, FDE_c: 4.1452±0.7365, FDE_d: 0.5372±0.0357
Experiment 09: ADE_a: 0.2287±0.0365, ADE_b: 0.4872±0.3435, ADE_c: 1.2065±0.2730, ADE_c: 0.2302±0.0154, FDE_a: 0.5889±0.1505, FDE_b: 0.5414±0.0309, FDE_c: 4.0803±0.7254, FDE_d: 0.5344±0.0324
Experiment 10: ADE_a: 0.2268±0.0320, ADE_b: 0.4765±0.3397, ADE_c: 1.2240±0.2593, ADE_c: 0.2288±0.0105, FDE_a: 0.5839±0.1467, FDE_b: 0.5367±0.0251, FDE_c: 4.1817±0.7555, FDE_d: 0.5346±0.0266
Experiment 11: ADE_a: 0.2251±0.0339, ADE_b: 0.4618±0.3308, ADE_c: 1.2188±0.2678, ADE_c: 0.2296±0.0138, FDE_a: 0.5758±0.1493, FDE_b: 0.5389±0.0276, FDE_c: 4.1568±0.7582, FDE_d: 0.5347±0.0309
Experiment 12: ADE_a: 0.2245±0.0288, ADE_b: 0.4213±0.2634, ADE_c: 1.2317±0.2720, ADE_c: 0.2306±0.0135, FDE_a: 0.5692±0.1304, FDE_b: 0.5421±0.0335, FDE_c: 4.2105±0.7875, FDE_d: 0.5410±0.0355
Experiment 13: ADE_a: 0.2192±0.0261, ADE_b: 0.3696±0.1865, ADE_c: 1.2088±0.2777, ADE_c: 0.2277±0.0136, FDE_a: 0.5525±0.1105, FDE_b: 0.5362±0.0290, FDE_c: 4.1507±0.7830, FDE_d: 0.5325±0.0258
Experiment 14: ADE_a: 0.2203±0.0270, ADE_b: 0.3370±0.1342, ADE_c: 1.2395±0.3130, ADE_c: 0.2290±0.0176, FDE_a: 0.5513±0.1040, FDE_b: 0.5417±0.0406, FDE_c: 4.2405±0.8894, FDE_d: 0.5412±0.0432
Experiment 15: ADE_a: 0.2177±0.0269, ADE_b: 0.3255±0.1277, ADE_c: 1.1978±0.2733, ADE_c: 0.2267±0.0124, FDE_a: 0.5406±0.1066, FDE_b: 0.5349±0.0247, FDE_c: 4.1406±0.7797, FDE_d: 0.5340±0.0235
Experiment 16: ADE_a: 0.2155±0.0235, ADE_b: 0.3241±0.1274, ADE_c: 1.2359±0.3195, ADE_c: 0.2263±0.0138, FDE_a: 0.5284±0.0822, FDE_b: 0.5356±0.0289, FDE_c: 4.3180±0.9874, FDE_d: 0.5333±0.0301
Experiment 17: ADE_a: 0.2166±0.0241, ADE_b: 0.3202±0.1224, ADE_c: 1.2280±0.3341, ADE_c: 0.2277±0.0151, FDE_a: 0.5274±0.0802, FDE_b: 0.5410±0.0344, FDE_c: 4.2844±1.0162, FDE_d: 0.5385±0.0342
Experiment 18: ADE_a: 0.2149±0.0267, ADE_b: 0.2923±0.0864, ADE_c: 1.2442±0.3909, ADE_c: 0.2263±0.0140, FDE_a: 0.5218±0.0871, FDE_b: 0.5346±0.0309, FDE_c: 4.3568±1.2115, FDE_d: 0.5335±0.0313
Experiment 19: ADE_a: 0.2121±0.0275, ADE_b: 0.2951±0.0912, ADE_c: 1.2429±0.3744, ADE_c: 0.2269±0.0136, FDE_a: 0.5094±0.0884, FDE_b: 0.5345±0.0286, FDE_c: 4.3640±1.1717, FDE_d: 0.5327±0.0306
Experiment 20: ADE_a: 0.2124±0.0258, ADE_b: 0.2941±0.0876, ADE_c: 1.2625±0.4022, ADE_c: 0.2275±0.0146, FDE_a: 0.5040±0.0767, FDE_b: 0.5364±0.0320, FDE_c: 4.4989±1.3821, FDE_d: 0.5317±0.0316
Experiment 21: ADE_a: 0.2132±0.0248, ADE_b: 0.2861±0.0761, ADE_c: 1.2393±0.4057, ADE_c: 0.2286±0.0153, FDE_a: 0.5092±0.0702, FDE_b: 0.5404±0.0367, FDE_c: 4.4717±1.4767, FDE_d: 0.5391±0.0380
Experiment 22: ADE_a: 0.2092±0.0245, ADE_b: 0.2755±0.0628, ADE_c: 1.2390±0.4030, ADE_c: 0.2270±0.0120, FDE_a: 0.4964±0.0730, FDE_b: 0.5359±0.0280, FDE_c: 4.4433±1.3771, FDE_d: 0.5329±0.0264
Experiment 23: ADE_a: 0.2087±0.0242, ADE_b: 0.2699±0.0562, ADE_c: 1.2661±0.4448, ADE_c: 0.2264±0.0140, FDE_a: 0.4931±0.0666, FDE_b: 0.5353±0.0304, FDE_c: 4.6407±1.7293, FDE_d: 0.5327±0.0303
Experiment 24: ADE_a: 0.2107±0.0254, ADE_b: 0.2701±0.0564, ADE_c: 1.2318±0.3982, ADE_c: 0.2278±0.0143, FDE_a: 0.4984±0.0694, FDE_b: 0.5360±0.0321, FDE_c: 4.4807±1.4460, FDE_d: 0.5347±0.0324
Experiment 25: ADE_a: 0.2084±0.0232, ADE_b: 0.2654±0.0503, ADE_c: 1.2753±0.4605, ADE_c: 0.2272±0.0144, FDE_a: 0.4961±0.0608, FDE_b: 0.5379±0.0314, FDE_c: 4.6987±1.7756, FDE_d: 0.5354±0.0315
Experiment 26: ADE_a: 0.2075±0.0241, ADE_b: 0.2639±0.0487, ADE_c: 1.2231±0.4131, ADE_c: 0.2269±0.0149, FDE_a: 0.4898±0.0628, FDE_b: 0.5368±0.0339, FDE_c: 4.5465±1.6534, FDE_d: 0.5334±0.0332
Experiment 27: ADE_a: 0.2089±0.0205, ADE_b: 0.2675±0.0488, ADE_c: 1.2549±0.4642, ADE_c: 0.2291±0.0115, FDE_a: 0.4887±0.0540, FDE_b: 0.5445±0.0274, FDE_c: 4.7218±1.9189, FDE_d: 0.5397±0.0249
Experiment 28: ADE_a: 0.2069±0.0232, ADE_b: 0.2603±0.0452, ADE_c: 1.2585±0.4927, ADE_c: 0.2268±0.0141, FDE_a: 0.4857±0.0607, FDE_b: 0.5356±0.0318, FDE_c: 4.8331±2.2066, FDE_d: 0.5329±0.0311
Experiment 29: ADE_a: 0.2056±0.0225, ADE_b: 0.2638±0.0485, ADE_c: 1.3293±0.5978, ADE_c: 0.2266±0.0140, FDE_a: 0.4829±0.0536, FDE_b: 0.5368±0.0317, FDE_c: 5.2607±2.9020, FDE_d: 0.5326±0.0304
Experiment 30: ADE_a: 0.2076±0.0233, ADE_b: 0.2606±0.0441, ADE_c: 1.2280±0.4386, ADE_c: 0.2284±0.0153, FDE_a: 0.4869±0.0549, FDE_b: 0.5405±0.0355, FDE_c: 4.6678±1.8642, FDE_d: 0.5370±0.0351
Experiment 31: ADE_a: 0.2087±0.0229, ADE_b: 0.2571±0.0410, ADE_c: 1.2633±0.5066, ADE_c: 0.2283±0.0157, FDE_a: 0.4908±0.0576, FDE_b: 0.5410±0.0385, FDE_c: 4.9179±2.3484, FDE_d: 0.5401±0.0404
Experiment 32: ADE_a: 0.2065±0.0214, ADE_b: 0.2588±0.0434, ADE_c: 1.2142±0.4059, ADE_c: 0.2270±0.0145, FDE_a: 0.4860±0.0529, FDE_b: 0.5371±0.0328, FDE_c: 4.6156±1.6889, FDE_d: 0.5351±0.0317
