Results for prediction length: 25
File not found: ../data/4_models/gatsbi_abl_phy_star_25_multimodal_gmm_split_3_48.model_perf.txt
Experiment 16: ADE_a: 0.2044±0.0109, ADE_b: 0.2435±0.0066, ADE_c: 1.2688±0.3069, ADE_c: 0.2136±0.0146, FDE_a: 0.4682±0.0227, FDE_b: 0.5106±0.0333, FDE_c: 4.1389±0.8399, FDE_d: 0.5069±0.0326
Experiment 17: ADE_a: 0.2019±0.0112, ADE_b: 0.2370±0.0061, ADE_c: 1.2822±0.3243, ADE_c: 0.2099±0.0146, FDE_a: 0.4619±0.0263, FDE_b: 0.5079±0.0342, FDE_c: 4.2198±0.8963, FDE_d: 0.5035±0.0305
Experiment 18: ADE_a: 0.1994±0.0101, ADE_b: 0.2360±0.0084, ADE_c: 1.2910±0.3268, ADE_c: 0.2094±0.0141, FDE_a: 0.4563±0.0179, FDE_b: 0.5042±0.0314, FDE_c: 4.2627±0.9551, FDE_d: 0.5015±0.0304
Experiment 19: ADE_a: 0.1970±0.0098, ADE_b: 0.2371±0.0100, ADE_c: 1.2553±0.3174, ADE_c: 0.2105±0.0138, FDE_a: 0.4462±0.0243, FDE_b: 0.5089±0.0375, FDE_c: 4.1782±0.9152, FDE_d: 0.5022±0.0339
Experiment 20: ADE_a: 0.1994±0.0101, ADE_b: 0.2340±0.0098, ADE_c: 1.2646±0.3319, ADE_c: 0.2118±0.0178, FDE_a: 0.4590±0.0179, FDE_b: 0.5031±0.0341, FDE_c: 4.2113±0.9735, FDE_d: 0.5044±0.0349
Experiment 21: ADE_a: 0.1969±0.0117, ADE_b: 0.2349±0.0095, ADE_c: 1.2509±0.3109, ADE_c: 0.2112±0.0144, FDE_a: 0.4598±0.0218, FDE_b: 0.5127±0.0342, FDE_c: 4.1889±0.9234, FDE_d: 0.5080±0.0331
Experiment 22: ADE_a: 0.1951±0.0099, ADE_b: 0.2341±0.0127, ADE_c: 1.2494±0.3173, ADE_c: 0.2104±0.0153, FDE_a: 0.4547±0.0182, FDE_b: 0.5087±0.0348, FDE_c: 4.2076±0.9604, FDE_d: 0.5035±0.0321
Experiment 23: ADE_a: 0.2052±0.0357, ADE_b: 0.2409±0.0209, ADE_c: 1.0881±0.4601, ADE_c: 0.2202±0.0314, FDE_a: 0.4906±0.1025, FDE_b: 0.5391±0.0846, FDE_c: 3.5787±1.5975, FDE_d: 0.5338±0.0850
Experiment 24: ADE_a: 0.2046±0.0278, ADE_b: 0.2359±0.0168, ADE_c: 1.0727±0.4756, ADE_c: 0.2178±0.0243, FDE_a: 0.4813±0.0620, FDE_b: 0.5220±0.0503, FDE_c: 3.5146±1.6360, FDE_d: 0.5200±0.0513
Experiment 25: ADE_a: 0.1995±0.0238, ADE_b: 0.2339±0.0138, ADE_c: 1.0616±0.4773, ADE_c: 0.2132±0.0219, FDE_a: 0.4638±0.0510, FDE_b: 0.5111±0.0391, FDE_c: 3.4885±1.6506, FDE_d: 0.5087±0.0416
