Results for prediction length: 25
Experiment 21: ADE_a: 0.2148±0.0074, ADE_b: 0.2672±0.0439, ADE_c: 1.3315±0.3721, ADE_c: 0.2177±0.0143, FDE_a: 0.5059±0.0330, FDE_b: 0.5024±0.0304, FDE_c: 4.2986±0.8371, FDE_d: 0.5048±0.0313
Experiment 22: ADE_a: 0.2142±0.0076, ADE_b: 0.2676±0.0393, ADE_c: 1.3305±0.3728, ADE_c: 0.2162±0.0178, FDE_a: 0.5042±0.0363, FDE_b: 0.5027±0.0337, FDE_c: 4.3013±0.8409, FDE_d: 0.5011±0.0363
Experiment 23: ADE_a: 0.2104±0.0088, ADE_b: 0.2691±0.0450, ADE_c: 1.3324±0.3715, ADE_c: 0.2185±0.0153, FDE_a: 0.4858±0.0229, FDE_b: 0.5086±0.0366, FDE_c: 4.3135±0.8324, FDE_d: 0.5058±0.0377
Experiment 24: ADE_a: 0.2104±0.0071, ADE_b: 0.2634±0.0404, ADE_c: 1.3318±0.3730, ADE_c: 0.2160±0.0154, FDE_a: 0.4893±0.0323, FDE_b: 0.5029±0.0342, FDE_c: 4.3121±0.8400, FDE_d: 0.5020±0.0343
Experiment 25: ADE_a: 0.2173±0.0090, ADE_b: 0.2675±0.0405, ADE_c: 1.3394±0.3801, ADE_c: 0.2214±0.0153, FDE_a: 0.5013±0.0382, FDE_b: 0.5057±0.0335, FDE_c: 4.3287±0.8490, FDE_d: 0.5103±0.0334
Experiment 26: ADE_a: 0.2092±0.0104, ADE_b: 0.2649±0.0446, ADE_c: 1.3313±0.3797, ADE_c: 0.2169±0.0179, FDE_a: 0.4844±0.0309, FDE_b: 0.5077±0.0359, FDE_c: 4.3200±0.8533, FDE_d: 0.5041±0.0374
Experiment 27: ADE_a: 0.2149±0.0044, ADE_b: 0.2664±0.0389, ADE_c: 1.3284±0.3779, ADE_c: 0.2215±0.0145, FDE_a: 0.4944±0.0202, FDE_b: 0.5118±0.0332, FDE_c: 4.3113±0.8573, FDE_d: 0.5118±0.0306
Experiment 28: ADE_a: 0.2101±0.0077, ADE_b: 0.2627±0.0435, ADE_c: 1.3288±0.3804, ADE_c: 0.2185±0.0164, FDE_a: 0.4886±0.0219, FDE_b: 0.5090±0.0351, FDE_c: 4.3181±0.8556, FDE_d: 0.5095±0.0338
Experiment 29: ADE_a: 0.2089±0.0113, ADE_b: 0.2608±0.0409, ADE_c: 1.3256±0.3955, ADE_c: 0.2173±0.0178, FDE_a: 0.4873±0.0377, FDE_b: 0.5062±0.0380, FDE_c: 4.3094±0.8951, FDE_d: 0.5069±0.0374
Experiment 30: ADE_a: 0.2080±0.0094, ADE_b: 0.2592±0.0406, ADE_c: 1.3251±0.3855, ADE_c: 0.2167±0.0180, FDE_a: 0.4839±0.0241, FDE_b: 0.5074±0.0372, FDE_c: 4.3137±0.8747, FDE_d: 0.5074±0.0363
Experiment 31: ADE_a: 0.2077±0.0116, ADE_b: 0.2583±0.0397, ADE_c: 1.3197±0.3901, ADE_c: 0.2176±0.0177, FDE_a: 0.4788±0.0272, FDE_b: 0.5073±0.0375, FDE_c: 4.3094±0.8858, FDE_d: 0.5074±0.0376
Experiment 32: ADE_a: 0.2123±0.0125, ADE_b: 0.2653±0.0433, ADE_c: 1.3251±0.3900, ADE_c: 0.2227±0.0206, FDE_a: 0.4926±0.0260, FDE_b: 0.5161±0.0406, FDE_c: 4.3179±0.8924, FDE_d: 0.5141±0.0403
Experiment 33: ADE_a: 0.2094±0.0145, ADE_b: 0.2574±0.0379, ADE_c: 1.3194±0.3968, ADE_c: 0.2195±0.0189, FDE_a: 0.4863±0.0338, FDE_b: 0.5089±0.0395, FDE_c: 4.3107±0.9139, FDE_d: 0.5097±0.0414
Experiment 34: ADE_a: 0.2077±0.0133, ADE_b: 0.2605±0.0414, ADE_c: 1.3191±0.4003, ADE_c: 0.2206±0.0186, FDE_a: 0.4767±0.0337, FDE_b: 0.5169±0.0400, FDE_c: 4.3077±0.9215, FDE_d: 0.5135±0.0389
Experiment 35: ADE_a: 0.2085±0.0114, ADE_b: 0.2565±0.0372, ADE_c: 1.3185±0.4003, ADE_c: 0.2194±0.0182, FDE_a: 0.4804±0.0283, FDE_b: 0.5112±0.0376, FDE_c: 4.3063±0.9334, FDE_d: 0.5120±0.0368
Experiment 36: ADE_a: 0.2106±0.0153, ADE_b: 0.2605±0.0384, ADE_c: 1.3143±0.3969, ADE_c: 0.2216±0.0199, FDE_a: 0.4885±0.0344, FDE_b: 0.5162±0.0434, FDE_c: 4.2998±0.9252, FDE_d: 0.5178±0.0445
Experiment 37: ADE_a: 0.2057±0.0134, ADE_b: 0.2542±0.0365, ADE_c: 1.3024±0.4035, ADE_c: 0.2192±0.0193, FDE_a: 0.4757±0.0315, FDE_b: 0.5145±0.0390, FDE_c: 4.2835±0.9457, FDE_d: 0.5138±0.0417
Experiment 38: ADE_a: 0.2099±0.0153, ADE_b: 0.2611±0.0381, ADE_c: 1.3026±0.4083, ADE_c: 0.2229±0.0229, FDE_a: 0.4817±0.0334, FDE_b: 0.5205±0.0461, FDE_c: 4.2711±0.9570, FDE_d: 0.5200±0.0484
Experiment 39: ADE_a: 0.2101±0.0111, ADE_b: 0.2579±0.0362, ADE_c: 1.3025±0.4148, ADE_c: 0.2209±0.0171, FDE_a: 0.4893±0.0256, FDE_b: 0.5169±0.0367, FDE_c: 4.2825±0.9640, FDE_d: 0.5178±0.0364
Experiment 40: ADE_a: 0.2103±0.0167, ADE_b: 0.2562±0.0383, ADE_c: 1.2926±0.4141, ADE_c: 0.2234±0.0174, FDE_a: 0.4930±0.0389, FDE_b: 0.5213±0.0386, FDE_c: 4.2568±0.9741, FDE_d: 0.5227±0.0401
Experiment 41: ADE_a: 0.2091±0.0073, ADE_b: 0.2600±0.0383, ADE_c: 1.2919±0.4201, ADE_c: 0.2235±0.0141, FDE_a: 0.4783±0.0196, FDE_b: 0.5228±0.0332, FDE_c: 4.2560±0.9802, FDE_d: 0.5219±0.0315
Experiment 42: ADE_a: 0.2111±0.0126, ADE_b: 0.2549±0.0355, ADE_c: 1.2898±0.4242, ADE_c: 0.2233±0.0165, FDE_a: 0.4870±0.0292, FDE_b: 0.5199±0.0375, FDE_c: 4.2608±0.9907, FDE_d: 0.5220±0.0368
Experiment 43: ADE_a: 0.2036±0.0144, ADE_b: 0.2538±0.0360, ADE_c: 1.2769±0.4226, ADE_c: 0.2193±0.0159, FDE_a: 0.4699±0.0289, FDE_b: 0.5153±0.0342, FDE_c: 4.2359±0.9988, FDE_d: 0.5138±0.0352
Experiment 44: ADE_a: 0.2072±0.0140, ADE_b: 0.2543±0.0330, ADE_c: 1.2770±0.4287, ADE_c: 0.2226±0.0184, FDE_a: 0.4796±0.0263, FDE_b: 0.5200±0.0405, FDE_c: 4.2250±1.0222, FDE_d: 0.5215±0.0420
Experiment 45: ADE_a: 0.2062±0.0144, ADE_b: 0.2563±0.0369, ADE_c: 1.2786±0.4189, ADE_c: 0.2231±0.0174, FDE_a: 0.4767±0.0255, FDE_b: 0.5267±0.0380, FDE_c: 4.2329±1.0062, FDE_d: 0.5243±0.0394
Experiment 46: ADE_a: 0.2059±0.0148, ADE_b: 0.2529±0.0338, ADE_c: 1.2654±0.4296, ADE_c: 0.2213±0.0188, FDE_a: 0.4773±0.0358, FDE_b: 0.5182±0.0421, FDE_c: 4.2062±1.0317, FDE_d: 0.5182±0.0419
Experiment 47: ADE_a: 0.2053±0.0131, ADE_b: 0.2526±0.0334, ADE_c: 1.2730±0.4277, ADE_c: 0.2217±0.0185, FDE_a: 0.4758±0.0265, FDE_b: 0.5222±0.0409, FDE_c: 4.2268±1.0331, FDE_d: 0.5215±0.0415
Experiment 48: ADE_a: 0.2045±0.0143, ADE_b: 0.2546±0.0371, ADE_c: 1.2613±0.4278, ADE_c: 0.2222±0.0188, FDE_a: 0.4749±0.0299, FDE_b: 0.5223±0.0426, FDE_c: 4.1947±1.0488, FDE_d: 0.5220±0.0426
