Results for prediction length: 25
Experiment 02: ADE_a: 0.3770±0.1358, ADE_b: 0.7918±0.2673, ADE_c: 1.0976±0.1380, ADE_c: 0.2099±0.0159, FDE_a: 1.0659±0.2896, FDE_b: 0.4938±0.0361, FDE_c: 3.8342±0.3849, FDE_d: 0.4909±0.0322
Experiment 03: ADE_a: 0.3749±0.1412, ADE_b: 0.7164±0.2567, ADE_c: 1.1301±0.1498, ADE_c: 0.2075±0.0133, FDE_a: 1.0057±0.2266, FDE_b: 0.4893±0.0303, FDE_c: 3.9181±0.4160, FDE_d: 0.4932±0.0333
Experiment 04: ADE_a: 0.3649±0.1603, ADE_b: 0.6811±0.2423, ADE_c: 1.1624±0.1659, ADE_c: 0.2087±0.0096, FDE_a: 0.9486±0.2839, FDE_b: 0.4961±0.0192, FDE_c: 3.9882±0.4361, FDE_d: 0.4941±0.0267
Experiment 05: ADE_a: 0.3604±0.1621, ADE_b: 0.6436±0.2399, ADE_c: 1.1968±0.1800, ADE_c: 0.2085±0.0141, FDE_a: 0.9159±0.2611, FDE_b: 0.4952±0.0310, FDE_c: 4.0739±0.4596, FDE_d: 0.4955±0.0280
Experiment 06: ADE_a: 0.3601±0.1687, ADE_b: 0.6064±0.2263, ADE_c: 1.2174±0.1839, ADE_c: 0.2074±0.0125, FDE_a: 0.8765±0.2438, FDE_b: 0.4885±0.0281, FDE_c: 4.1228±0.4699, FDE_d: 0.4901±0.0260
Experiment 07: ADE_a: 0.3492±0.1629, ADE_b: 0.5873±0.2156, ADE_c: 1.2339±0.1928, ADE_c: 0.2106±0.0122, FDE_a: 0.7780±0.1675, FDE_b: 0.4941±0.0282, FDE_c: 4.1476±0.4867, FDE_d: 0.4934±0.0263
Experiment 08: ADE_a: 0.3454±0.1569, ADE_b: 0.5621±0.1989, ADE_c: 1.2723±0.2140, ADE_c: 0.2147±0.0089, FDE_a: 0.7604±0.1289, FDE_b: 0.4987±0.0219, FDE_c: 4.2632±0.5447, FDE_d: 0.5004±0.0266
Experiment 09: ADE_a: 0.3360±0.1530, ADE_b: 0.5478±0.1854, ADE_c: 1.2686±0.2169, ADE_c: 0.2127±0.0137, FDE_a: 0.7337±0.1072, FDE_b: 0.4976±0.0300, FDE_c: 4.2551±0.5420, FDE_d: 0.4968±0.0317
Experiment 10: ADE_a: 0.3330±0.1529, ADE_b: 0.5292±0.1817, ADE_c: 1.3132±0.2433, ADE_c: 0.2132±0.0129, FDE_a: 0.6893±0.0772, FDE_b: 0.5061±0.0241, FDE_c: 4.4249±0.6772, FDE_d: 0.5048±0.0287
Experiment 11: ADE_a: 0.3318±0.1500, ADE_b: 0.5222±0.1714, ADE_c: 1.3048±0.2380, ADE_c: 0.2153±0.0136, FDE_a: 0.6805±0.0839, FDE_b: 0.5067±0.0292, FDE_c: 4.3649±0.5994, FDE_d: 0.5052±0.0289
