Results for prediction length: 25
Experiment 09: ADE_a: 0.2389±0.0268, ADE_b: 0.2775±0.0144, ADE_c: 1.2197±0.2188, ADE_c: 0.2223±0.0172, FDE_a: 0.5087±0.0337, FDE_b: 0.5131±0.0336, FDE_c: 4.0407±0.6475, FDE_d: 0.5103±0.0325
Experiment 10: ADE_a: 0.2405±0.0292, ADE_b: 0.2743±0.0197, ADE_c: 1.2444±0.2198, ADE_c: 0.2211±0.0157, FDE_a: 0.5022±0.0387, FDE_b: 0.5059±0.0301, FDE_c: 4.1096±0.6275, FDE_d: 0.5049±0.0263
Experiment 11: ADE_a: 0.2308±0.0272, ADE_b: 0.2636±0.0227, ADE_c: 1.2838±0.2167, ADE_c: 0.2154±0.0147, FDE_a: 0.4806±0.0262, FDE_b: 0.4959±0.0282, FDE_c: 4.2022±0.6215, FDE_d: 0.4943±0.0287
Experiment 12: ADE_a: 0.2316±0.0291, ADE_b: 0.2627±0.0255, ADE_c: 1.3055±0.2183, ADE_c: 0.2149±0.0151, FDE_a: 0.4835±0.0398, FDE_b: 0.4989±0.0286, FDE_c: 4.2506±0.6194, FDE_d: 0.4988±0.0299
Experiment 13: ADE_a: 0.2336±0.0258, ADE_b: 0.2611±0.0262, ADE_c: 1.3322±0.2178, ADE_c: 0.2159±0.0136, FDE_a: 0.4915±0.0325, FDE_b: 0.4995±0.0305, FDE_c: 4.3207±0.6055, FDE_d: 0.5012±0.0294
Experiment 14: ADE_a: 0.2435±0.0176, ADE_b: 0.2801±0.0242, ADE_c: 1.3762±0.2315, ADE_c: 0.2314±0.0185, FDE_a: 0.5058±0.0432, FDE_b: 0.5312±0.0329, FDE_c: 4.4083±0.6305, FDE_d: 0.5286±0.0314
Experiment 15: ADE_a: 0.2305±0.0307, ADE_b: 0.2643±0.0279, ADE_c: 1.3602±0.2219, ADE_c: 0.2187±0.0179, FDE_a: 0.4876±0.0644, FDE_b: 0.5077±0.0339, FDE_c: 4.3947±0.5986, FDE_d: 0.5040±0.0377
Experiment 16: ADE_a: 0.2290±0.0301, ADE_b: 0.2594±0.0269, ADE_c: 1.3889±0.2020, ADE_c: 0.2137±0.0160, FDE_a: 0.4834±0.0434, FDE_b: 0.4958±0.0323, FDE_c: 4.4548±0.5527, FDE_d: 0.4962±0.0333
Experiment 17: ADE_a: 0.2313±0.0291, ADE_b: 0.2576±0.0253, ADE_c: 1.3928±0.2093, ADE_c: 0.2182±0.0122, FDE_a: 0.4868±0.0342, FDE_b: 0.5062±0.0263, FDE_c: 4.4687±0.5585, FDE_d: 0.5106±0.0267
Experiment 18: ADE_a: 0.2223±0.0241, ADE_b: 0.2520±0.0263, ADE_c: 1.4071±0.2053, ADE_c: 0.2119±0.0131, FDE_a: 0.4691±0.0304, FDE_b: 0.4943±0.0308, FDE_c: 4.5025±0.5385, FDE_d: 0.4938±0.0281
Experiment 19: ADE_a: 0.2235±0.0279, ADE_b: 0.2524±0.0266, ADE_c: 1.4088±0.1957, ADE_c: 0.2145±0.0155, FDE_a: 0.4745±0.0400, FDE_b: 0.4997±0.0332, FDE_c: 4.5104±0.5246, FDE_d: 0.4996±0.0340
