Results for prediction length: 25
Experiment 03: ADE_a: 0.3609±0.0988, ADE_b: 0.6395±0.1063, ADE_c: 1.1514±0.3378, ADE_c: 0.2131±0.0133, FDE_a: 0.8322±0.0925, FDE_b: 0.5057±0.0184, FDE_c: 3.8989±0.9307, FDE_d: 0.5027±0.0218
Experiment 04: ADE_a: 0.3595±0.1086, ADE_b: 0.5963±0.0891, ADE_c: 1.1744±0.3531, ADE_c: 0.2099±0.0121, FDE_a: 0.8122±0.1311, FDE_b: 0.4930±0.0225, FDE_c: 3.9547±0.9638, FDE_d: 0.4924±0.0248
Experiment 05: ADE_a: 0.3478±0.1006, ADE_b: 0.5667±0.0894, ADE_c: 1.1980±0.3685, ADE_c: 0.2133±0.0167, FDE_a: 0.7723±0.1214, FDE_b: 0.5077±0.0479, FDE_c: 4.0044±0.9890, FDE_d: 0.5098±0.0473
Experiment 06: ADE_a: 0.3440±0.0980, ADE_b: 0.5452±0.0926, ADE_c: 1.2176±0.3837, ADE_c: 0.2112±0.0141, FDE_a: 0.7201±0.1078, FDE_b: 0.4944±0.0285, FDE_c: 4.0465±1.0154, FDE_d: 0.4952±0.0288
Experiment 07: ADE_a: 0.3397±0.1037, ADE_b: 0.5225±0.0946, ADE_c: 1.2385±0.3932, ADE_c: 0.2112±0.0137, FDE_a: 0.6909±0.0717, FDE_b: 0.4958±0.0313, FDE_c: 4.0960±1.0326, FDE_d: 0.4985±0.0292
Experiment 08: ADE_a: 0.3375±0.1089, ADE_b: 0.5140±0.0971, ADE_c: 1.2560±0.4046, ADE_c: 0.2145±0.0062, FDE_a: 0.6950±0.0755, FDE_b: 0.5087±0.0160, FDE_c: 4.1316±1.0483, FDE_d: 0.5127±0.0137
Experiment 09: ADE_a: 0.3280±0.1024, ADE_b: 0.4999±0.1079, ADE_c: 1.2669±0.4179, ADE_c: 0.2104±0.0104, FDE_a: 0.6420±0.0568, FDE_b: 0.4970±0.0216, FDE_c: 4.1675±1.0767, FDE_d: 0.4969±0.0237
Experiment 10: ADE_a: 0.3310±0.1051, ADE_b: 0.4895±0.1041, ADE_c: 1.2805±0.4295, ADE_c: 0.2132±0.0124, FDE_a: 0.6414±0.0620, FDE_b: 0.4998±0.0250, FDE_c: 4.2012±1.1074, FDE_d: 0.4993±0.0235
Experiment 11: ADE_a: 0.3255±0.0998, ADE_b: 0.4764±0.1116, ADE_c: 1.2969±0.4405, ADE_c: 0.2118±0.0123, FDE_a: 0.6449±0.0724, FDE_b: 0.5001±0.0265, FDE_c: 4.2374±1.1231, FDE_d: 0.5036±0.0253
Experiment 12: ADE_a: 0.3339±0.1018, ADE_b: 0.4696±0.1108, ADE_c: 1.3118±0.4457, ADE_c: 0.2148±0.0138, FDE_a: 0.6406±0.0905, FDE_b: 0.5047±0.0288, FDE_c: 4.2694±1.1503, FDE_d: 0.5077±0.0297
Experiment 13: ADE_a: 0.3236±0.0990, ADE_b: 0.4687±0.1047, ADE_c: 1.3145±0.4624, ADE_c: 0.2147±0.0126, FDE_a: 0.6223±0.0715, FDE_b: 0.5073±0.0241, FDE_c: 4.2734±1.1783, FDE_d: 0.5076±0.0227
Experiment 14: ADE_a: 0.3175±0.0944, ADE_b: 0.4561±0.1017, ADE_c: 1.3313±0.4707, ADE_c: 0.2155±0.0145, FDE_a: 0.6133±0.0961, FDE_b: 0.5098±0.0331, FDE_c: 4.3099±1.2024, FDE_d: 0.5109±0.0308
Experiment 15: ADE_a: 0.3228±0.0897, ADE_b: 0.4529±0.1021, ADE_c: 1.3451±0.4750, ADE_c: 0.2215±0.0119, FDE_a: 0.6227±0.0908, FDE_b: 0.5236±0.0276, FDE_c: 4.3401±1.2182, FDE_d: 0.5263±0.0274
Experiment 16: ADE_a: 0.3177±0.0964, ADE_b: 0.4431±0.0990, ADE_c: 1.3508±0.4807, ADE_c: 0.2201±0.0126, FDE_a: 0.5994±0.0822, FDE_b: 0.5212±0.0275, FDE_c: 4.3532±1.2344, FDE_d: 0.5232±0.0261
Experiment 17: ADE_a: 0.3155±0.0906, ADE_b: 0.4411±0.0928, ADE_c: 1.3658±0.4885, ADE_c: 0.2230±0.0128, FDE_a: 0.6082±0.0805, FDE_b: 0.5282±0.0277, FDE_c: 4.3860±1.2426, FDE_d: 0.5302±0.0265
Experiment 18: ADE_a: 0.3228±0.0860, ADE_b: 0.4428±0.0867, ADE_c: 1.3720±0.4928, ADE_c: 0.2290±0.0192, FDE_a: 0.6264±0.0911, FDE_b: 0.5428±0.0448, FDE_c: 4.3921±1.2616, FDE_d: 0.5452±0.0441
Experiment 19: ADE_a: 0.3055±0.0809, ADE_b: 0.4300±0.0893, ADE_c: 1.3827±0.5025, ADE_c: 0.2241±0.0129, FDE_a: 0.5858±0.0715, FDE_b: 0.5294±0.0276, FDE_c: 4.4147±1.2835, FDE_d: 0.5299±0.0267
Experiment 20: ADE_a: 0.3083±0.0775, ADE_b: 0.4251±0.0830, ADE_c: 1.3961±0.4985, ADE_c: 0.2278±0.0156, FDE_a: 0.5981±0.0690, FDE_b: 0.5408±0.0338, FDE_c: 4.4383±1.2816, FDE_d: 0.5414±0.0350
Experiment 21: ADE_a: 0.3027±0.0772, ADE_b: 0.4225±0.0837, ADE_c: 1.3983±0.5104, ADE_c: 0.2291±0.0132, FDE_a: 0.5939±0.0697, FDE_b: 0.5455±0.0276, FDE_c: 4.4365±1.3180, FDE_d: 0.5460±0.0308
Experiment 22: ADE_a: 0.3008±0.0707, ADE_b: 0.4195±0.0813, ADE_c: 1.4035±0.4938, ADE_c: 0.2303±0.0136, FDE_a: 0.5848±0.0695, FDE_b: 0.5459±0.0271, FDE_c: 4.4490±1.2869, FDE_d: 0.5441±0.0282
Experiment 23: ADE_a: 0.3028±0.0702, ADE_b: 0.4157±0.0809, ADE_c: 1.4049±0.5011, ADE_c: 0.2338±0.0130, FDE_a: 0.5966±0.0699, FDE_b: 0.5539±0.0273, FDE_c: 4.4489±1.3052, FDE_d: 0.5535±0.0272
Experiment 24: ADE_a: 0.2982±0.0682, ADE_b: 0.4105±0.0780, ADE_c: 1.4160±0.5047, ADE_c: 0.2321±0.0121, FDE_a: 0.5945±0.0695, FDE_b: 0.5485±0.0230, FDE_c: 4.4627±1.3216, FDE_d: 0.5485±0.0237
Experiment 25: ADE_a: 0.2928±0.0666, ADE_b: 0.4061±0.0759, ADE_c: 1.4107±0.5064, ADE_c: 0.2339±0.0106, FDE_a: 0.5849±0.0656, FDE_b: 0.5535±0.0196, FDE_c: 4.4499±1.3420, FDE_d: 0.5521±0.0202
Experiment 26: ADE_a: 0.2968±0.0674, ADE_b: 0.4053±0.0771, ADE_c: 1.4228±0.5110, ADE_c: 0.2362±0.0105, FDE_a: 0.5942±0.0551, FDE_b: 0.5583±0.0194, FDE_c: 4.4702±1.3492, FDE_d: 0.5593±0.0200
