Results for prediction length: 25
Experiment 27: ADE_a: 0.2419±0.0926, ADE_b: 0.3042±0.0818, ADE_c: 1.0190±0.4167, ADE_c: 0.2106±0.0128, FDE_a: 0.4848±0.0584, FDE_b: 0.5056±0.0318, FDE_c: 3.5931±1.1515, FDE_d: 0.5028±0.0331
Experiment 28: ADE_a: 0.2420±0.0919, ADE_b: 0.3022±0.0821, ADE_c: 1.0180±0.4225, ADE_c: 0.2105±0.0113, FDE_a: 0.4817±0.0515, FDE_b: 0.5049±0.0291, FDE_c: 3.5867±1.1676, FDE_d: 0.5043±0.0278
Experiment 29: ADE_a: 0.2430±0.0960, ADE_b: 0.3027±0.0867, ADE_c: 1.0157±0.4267, ADE_c: 0.2111±0.0140, FDE_a: 0.4766±0.0547, FDE_b: 0.5071±0.0345, FDE_c: 3.5871±1.1705, FDE_d: 0.5047±0.0331
Experiment 30: ADE_a: 0.2409±0.0970, ADE_b: 0.3009±0.0870, ADE_c: 1.0152±0.4334, ADE_c: 0.2094±0.0136, FDE_a: 0.4766±0.0567, FDE_b: 0.5037±0.0333, FDE_c: 3.5764±1.1800, FDE_d: 0.5022±0.0325
Experiment 31: ADE_a: 0.2451±0.0989, ADE_b: 0.3016±0.0896, ADE_c: 1.0089±0.4324, ADE_c: 0.2098±0.0116, FDE_a: 0.4840±0.0568, FDE_b: 0.5029±0.0299, FDE_c: 3.5588±1.1877, FDE_d: 0.5022±0.0308
Experiment 32: ADE_a: 0.2450±0.1033, ADE_b: 0.3054±0.0909, ADE_c: 1.0113±0.4390, ADE_c: 0.2123±0.0144, FDE_a: 0.4819±0.0521, FDE_b: 0.5099±0.0340, FDE_c: 3.5611±1.2026, FDE_d: 0.5083±0.0331
Experiment 33: ADE_a: 0.2456±0.1020, ADE_b: 0.2992±0.0926, ADE_c: 1.0072±0.4396, ADE_c: 0.2099±0.0140, FDE_a: 0.4774±0.0514, FDE_b: 0.5043±0.0334, FDE_c: 3.5546±1.2083, FDE_d: 0.5019±0.0321
Experiment 34: ADE_a: 0.2433±0.1033, ADE_b: 0.2970±0.0954, ADE_c: 1.0033±0.4475, ADE_c: 0.2084±0.0128, FDE_a: 0.4734±0.0521, FDE_b: 0.5038±0.0328, FDE_c: 3.5383±1.2242, FDE_d: 0.5020±0.0317
Experiment 35: ADE_a: 0.2423±0.1055, ADE_b: 0.2967±0.0974, ADE_c: 1.0018±0.4442, ADE_c: 0.2084±0.0129, FDE_a: 0.4663±0.0458, FDE_b: 0.5029±0.0332, FDE_c: 3.5323±1.2189, FDE_d: 0.5019±0.0323
Experiment 36: ADE_a: 0.2428±0.1082, ADE_b: 0.2963±0.0990, ADE_c: 0.9995±0.4535, ADE_c: 0.2088±0.0135, FDE_a: 0.4652±0.0510, FDE_b: 0.5028±0.0315, FDE_c: 3.5244±1.2384, FDE_d: 0.5012±0.0314
Experiment 37: ADE_a: 0.2459±0.1104, ADE_b: 0.2984±0.1003, ADE_c: 0.9947±0.4547, ADE_c: 0.2098±0.0137, FDE_a: 0.4707±0.0483, FDE_b: 0.5071±0.0358, FDE_c: 3.5078±1.2499, FDE_d: 0.5053±0.0335
Experiment 38: ADE_a: 0.2409±0.1089, ADE_b: 0.2973±0.0976, ADE_c: 0.9967±0.4617, ADE_c: 0.2090±0.0133, FDE_a: 0.4561±0.0473, FDE_b: 0.5075±0.0346, FDE_c: 3.5124±1.2591, FDE_d: 0.5026±0.0331
Experiment 39: ADE_a: 0.2456±0.1150, ADE_b: 0.2966±0.1042, ADE_c: 0.9982±0.4575, ADE_c: 0.2078±0.0127, FDE_a: 0.4651±0.0525, FDE_b: 0.5026±0.0325, FDE_c: 3.5396±1.2578, FDE_d: 0.5006±0.0324
Experiment 40: ADE_a: 0.2455±0.1130, ADE_b: 0.2997±0.1034, ADE_c: 0.9912±0.4648, ADE_c: 0.2093±0.0138, FDE_a: 0.4644±0.0469, FDE_b: 0.5056±0.0333, FDE_c: 3.5063±1.2703, FDE_d: 0.5034±0.0331
Experiment 41: ADE_a: 0.2481±0.1143, ADE_b: 0.3008±0.1042, ADE_c: 1.0017±0.4689, ADE_c: 0.2120±0.0160, FDE_a: 0.4590±0.0508, FDE_b: 0.5098±0.0372, FDE_c: 3.5218±1.2911, FDE_d: 0.5044±0.0348
Experiment 42: ADE_a: 0.2492±0.1172, ADE_b: 0.3005±0.1091, ADE_c: 0.9860±0.4674, ADE_c: 0.2102±0.0145, FDE_a: 0.4623±0.0478, FDE_b: 0.5055±0.0341, FDE_c: 3.4826±1.2752, FDE_d: 0.5043±0.0347
Experiment 43: ADE_a: 0.2466±0.1144, ADE_b: 0.2982±0.1052, ADE_c: 0.9919±0.4810, ADE_c: 0.2105±0.0130, FDE_a: 0.4616±0.0457, FDE_b: 0.5099±0.0323, FDE_c: 3.4833±1.2991, FDE_d: 0.5072±0.0300
Experiment 44: ADE_a: 0.2479±0.1160, ADE_b: 0.2972±0.1072, ADE_c: 0.9928±0.4731, ADE_c: 0.2107±0.0139, FDE_a: 0.4644±0.0472, FDE_b: 0.5079±0.0351, FDE_c: 3.5169±1.2923, FDE_d: 0.5067±0.0339
Experiment 45: ADE_a: 0.2498±0.1193, ADE_b: 0.3008±0.1098, ADE_c: 0.9864±0.4788, ADE_c: 0.2111±0.0141, FDE_a: 0.4583±0.0519, FDE_b: 0.5085±0.0333, FDE_c: 3.4841±1.3107, FDE_d: 0.5048±0.0356
Experiment 46: ADE_a: 0.2502±0.1222, ADE_b: 0.3017±0.1110, ADE_c: 0.9848±0.4796, ADE_c: 0.2117±0.0121, FDE_a: 0.4598±0.0517, FDE_b: 0.5123±0.0331, FDE_c: 3.4631±1.3139, FDE_d: 0.5081±0.0337
Experiment 47: ADE_a: 0.2511±0.1216, ADE_b: 0.2997±0.1127, ADE_c: 0.9777±0.4926, ADE_c: 0.2101±0.0122, FDE_a: 0.4570±0.0459, FDE_b: 0.5065±0.0333, FDE_c: 3.4289±1.3326, FDE_d: 0.5041±0.0344
Experiment 48: ADE_a: 0.2495±0.1241, ADE_b: 0.3011±0.1118, ADE_c: 0.9829±0.4816, ADE_c: 0.2106±0.0132, FDE_a: 0.4608±0.0510, FDE_b: 0.5098±0.0351, FDE_c: 3.4612±1.3178, FDE_d: 0.5071±0.0318
