
Results for prediction length: 25
Experiment 07: ADE_a: 0.2223±0.0175, ADE_b: 0.2766±0.0239, ADE_c: 0.5857±0.3643, ADE_c: 0.2406±0.0184, FDE_a: 0.5056±0.0608, FDE_b: 0.5530±0.0439, FDE_c: 1.8383±1.2567, FDE_d: 0.5479±0.0428
Experiment 08: ADE_a: 0.2168±0.0146, ADE_b: 0.2677±0.0239, ADE_c: 0.5965±0.3960, ADE_c: 0.2374±0.0166, FDE_a: 0.5053±0.0478, FDE_b: 0.5420±0.0344, FDE_c: 1.8598±1.3245, FDE_d: 0.5434±0.0355
Experiment 09: ADE_a: 0.2123±0.0135, ADE_b: 0.2705±0.0247, ADE_c: 0.5974±0.4137, ADE_c: 0.2341±0.0172, FDE_a: 0.4949±0.0564, FDE_b: 0.5458±0.0362, FDE_c: 1.8832±1.4303, FDE_d: 0.5393±0.0360
Experiment 10: ADE_a: 0.2151±0.0085, ADE_b: 0.2623±0.0168, ADE_c: 0.5960±0.4163, ADE_c: 0.2362±0.0126, FDE_a: 0.4904±0.0280, FDE_b: 0.5393±0.0285, FDE_c: 1.8593±1.4177, FDE_d: 0.5393±0.0263
Experiment 11: ADE_a: 0.2200±0.0113, ADE_b: 0.2764±0.0232, ADE_c: 0.6133±0.4379, ADE_c: 0.2441±0.0195, FDE_a: 0.5075±0.0245, FDE_b: 0.5644±0.0470, FDE_c: 1.9151±1.5032, FDE_d: 0.5587±0.0362
Experiment 12: ADE_a: 0.2186±0.0219, ADE_b: 0.2682±0.0199, ADE_c: 0.6502±0.5471, ADE_c: 0.2411±0.0245, FDE_a: 0.5070±0.0653, FDE_b: 0.5575±0.0472, FDE_c: 2.1037±1.9682, FDE_d: 0.5548±0.0529
Experiment 13: ADE_a: 0.2179±0.0147, ADE_b: 0.2735±0.0171, ADE_c: 0.6253±0.4794, ADE_c: 0.2440±0.0193, FDE_a: 0.5064±0.0413, FDE_b: 0.5657±0.0415, FDE_c: 2.0237±1.7928, FDE_d: 0.5605±0.0441
Experiment 14: ADE_a: 0.2159±0.0152, ADE_b: 0.2667±0.0174, ADE_c: 0.6535±0.5555, ADE_c: 0.2407±0.0199, FDE_a: 0.4995±0.0364, FDE_b: 0.5568±0.0359, FDE_c: 2.1652±2.1146, FDE_d: 0.5554±0.0374
Experiment 15: ADE_a: 0.2141±0.0148, ADE_b: 0.2719±0.0172, ADE_c: 0.6682±0.6068, ADE_c: 0.2426±0.0184, FDE_a: 0.4960±0.0436, FDE_b: 0.5671±0.0370, FDE_c: 2.2762±2.4014, FDE_d: 0.5605±0.0398
Experiment 16: ADE_a: 0.2169±0.0132, ADE_b: 0.2769±0.0220, ADE_c: 0.7628±0.7996, ADE_c: 0.2474±0.0207, FDE_a: 0.4945±0.0329, FDE_b: 0.5725±0.0449, FDE_c: 2.7764±3.4284, FDE_d: 0.5661±0.0414
Experiment 17: ADE_a: 0.2232±0.0162, ADE_b: 0.2758±0.0175, ADE_c: 0.7891±0.8396, ADE_c: 0.2497±0.0203, FDE_a: 0.5115±0.0426, FDE_b: 0.5787±0.0395, FDE_c: 2.9747±3.7788, FDE_d: 0.5772±0.0421
Experiment 18: ADE_a: 0.2219±0.0167, ADE_b: 0.2760±0.0186, ADE_c: 0.9509±1.1784, ADE_c: 0.2473±0.0205, FDE_a: 0.5126±0.0540, FDE_b: 0.5778±0.0394, FDE_c: 4.0569±5.9920, FDE_d: 0.5746±0.0421
Experiment 19: ADE_a: 0.2249±0.0187, ADE_b: 0.2787±0.0217, ADE_c: 0.8456±0.9713, ADE_c: 0.2518±0.0241, FDE_a: 0.5181±0.0494, FDE_b: 0.5851±0.0465, FDE_c: 3.2895±4.4808, FDE_d: 0.5840±0.0491
Experiment 20: ADE_a: 0.2228±0.0156, ADE_b: 0.2811±0.0211, ADE_c: 1.3163±1.9155, ADE_c: 0.2499±0.0229, FDE_a: 0.5110±0.0381, FDE_b: 0.5860±0.0456, FDE_c: 6.3091±10.5174, FDE_d: 0.5805±0.0472
Experiment 21: ADE_a: 0.2241±0.0168, ADE_b: 0.2835±0.0186, ADE_c: 1.0481±1.3833, ADE_c: 0.2524±0.0214, FDE_a: 0.5138±0.0458, FDE_b: 0.5891±0.0414, FDE_c: 4.9441±7.8016, FDE_d: 0.5841±0.0447
Experiment 22: ADE_a: 0.2260±0.0166, ADE_b: 0.2840±0.0171, ADE_c: 1.0762±1.4386, ADE_c: 0.2552±0.0197, FDE_a: 0.5211±0.0503, FDE_b: 0.5952±0.0405, FDE_c: 4.9392±7.7903, FDE_d: 0.5931±0.0430
Experiment 23: ADE_a: 0.2249±0.0171, ADE_b: 0.2830±0.0178, ADE_c: 1.0965±1.4871, ADE_c: 0.2535±0.0214, FDE_a: 0.5181±0.0527, FDE_b: 0.5927±0.0421, FDE_c: 5.2599±8.4637, FDE_d: 0.5888±0.0448
