Results for prediction length: 25
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_39.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_40.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_41.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_42.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_43.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_44.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_45.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_46.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_47.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_48.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_49.model_perf.txt
Experiment 17: ADE_a: 0.1986±0.0250, ADE_b: 0.2243±0.0206, ADE_c: 1.3065±0.5427, ADE_c: 0.2066±0.0142, FDE_a: 0.4488±0.0201, FDE_b: 0.4903±0.0262, FDE_c: 4.6220±1.8275, FDE_d: 0.4908±0.0241
Experiment 18: ADE_a: 0.1939±0.0244, ADE_b: 0.2212±0.0206, ADE_c: 1.3618±0.5456, ADE_c: 0.2042±0.0145, FDE_a: 0.4451±0.0260, FDE_b: 0.4873±0.0303, FDE_c: 4.8989±2.1507, FDE_d: 0.4858±0.0301
Experiment 19: ADE_a: 0.1959±0.0241, ADE_b: 0.2203±0.0179, ADE_c: 1.4590±0.5037, ADE_c: 0.2052±0.0142, FDE_a: 0.4523±0.0298, FDE_b: 0.4917±0.0280, FDE_c: 5.1439±2.6134, FDE_d: 0.4915±0.0288
Experiment 20: ADE_a: 0.1984±0.0234, ADE_b: 0.2260±0.0229, ADE_c: 1.4198±0.5386, ADE_c: 0.2093±0.0199, FDE_a: 0.4554±0.0368, FDE_b: 0.4966±0.0385, FDE_c: 5.0992±2.3956, FDE_d: 0.4950±0.0387
Experiment 21: ADE_a: 0.3354±0.2689, ADE_b: 0.3665±0.2823, ADE_c: 2.1157±1.7110, ADE_c: 0.3426±0.2607, FDE_a: 0.8103±0.6959, FDE_b: 0.7989±0.5916, FDE_c: 5.7344±3.6142, FDE_d: 0.8440±0.6810
Experiment 22: ADE_a: 0.2052±0.0148, ADE_b: 0.2305±0.0060, ADE_c: 1.4195±0.5497, ADE_c: 0.2182±0.0085, FDE_a: 0.4529±0.0131, FDE_b: 0.5091±0.0132, FDE_c: 4.2552±1.3623, FDE_d: 0.5058±0.0116
Experiment 23: ADE_a: 0.1945±0.0137, ADE_b: 0.2219±0.0088, ADE_c: 1.3529±0.5661, ADE_c: 0.2120±0.0041, FDE_a: 0.4460±0.0218, FDE_b: 0.5013±0.0099, FDE_c: 4.0960±1.4585, FDE_d: 0.5002±0.0071
Experiment 24: ADE_a: 0.1943±0.0127, ADE_b: 0.2233±0.0088, ADE_c: 1.3558±0.5744, ADE_c: 0.2146±0.0092, FDE_a: 0.4423±0.0156, FDE_b: 0.5088±0.0109, FDE_c: 4.0886±1.6153, FDE_d: 0.5053±0.0096
Experiment 25: ADE_a: 0.1886±0.0213, ADE_b: 0.2182±0.0157, ADE_c: 1.4605±0.6259, ADE_c: 0.2092±0.0097, FDE_a: 0.4326±0.0327, FDE_b: 0.4982±0.0237, FDE_c: 4.6247±2.0294, FDE_d: 0.4936±0.0206
Experiment 26: ADE_a: 0.1932±0.0108, ADE_b: 0.2207±0.0092, ADE_c: 1.5275±0.7218, ADE_c: 0.2128±0.0089, FDE_a: 0.4366±0.0156, FDE_b: 0.5007±0.0085, FDE_c: 4.8948±2.6406, FDE_d: 0.4974±0.0086
